name,address,website,source_url,extracted_date
:iidrr Gallery,162 Allen Street,http://iidrr.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
14BC Gallery,626 East 14th Street,http://14bcgallery.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
15 Orient,"72 Walker Street, 3rd Floor",http://15orient.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
1969 Gallery,184 East 2nd Street,http://1969gallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
205 Hudson Gallery | Hunter College (CUNY),205 Hudson Street,http://205hudsongallery.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
3A Gallery,"179 Canal Street, #5A",http://3agallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
41 Cooper Gallery | The Cooper Union,41 Cooper Square,http://cooper.edu/about/galleries-auditoriums/41-cooper-gallery,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
47 Canal,529 West 20th Street,http://47canal.us,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
490 Atlantic,490 Atlantic Avenue,http://490atlantic.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
5-50 Gallery,5-50 51st Avenue,http://5-50gallery.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
56 Henry | 105 Henry Street,105 Henry Street,http://56henry.nyc,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
56 Henry | 56 Henry Street,56 Henry Street,http://56henry.nyc,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
57W57 ARTS,"501 Fifth Avenue, Suite #701",http://57w57arts.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
71 Contemporary,30 East 71st Street,http://71c.co,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
95 Gallon Gallery,297 Grand Street,http://95gallon.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
99CANAL,"99 Canal Street, 6th Fl.",http://99canal.net,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
A365,"365 Canal Street, #5B",http://jag-projects.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
ABRI MARS,53a Stanton Street,http://abrimars.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Abrons Arts Center,466 Grand Street,http://abronsartscenter.org,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Accent Sisters,"89 5th Avenue, Suite 702",http://accentaccent.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Acquavella Galleries,18 East 79th Street,http://acquavellagalleries.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Adelson Galleries | New York,"595 Madison Avenue, 4th Floor, The Fuller Building",http://adelsongalleries.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Adler Beatty,34 East 69th Street,http://adlerbeatty.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Affirmation Arts,"415 West 13th Street, 8th Fl.",http://www.affirmationarts.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
Aguirre,49 Walker Street,http://aguirree.com,https://artguide.artforum.com/artguide/place/new-york?category=galleries&show=all,2026-08-07
