name,location_label,address,city,website,status,closed_evidence,source,artguide_address,method,extracted_date
:iidrr Gallery,,162 Allen Street,New York,http://iidrr.com,unclear,,artguide,162 Allen Street,browserbase,2026-08-07
14BC Gallery,14BC Gallery,626 East 14th Street,NYC,http://14bcgallery.org,open,,artguide,626 East 14th Street,http:homepage,2026-08-07
15 Orient,15 Orient,Cortlandt Alley,New York,http://15orient.com,open,,artguide,"72 Walker Street, 3rd Floor",http:homepage,2026-08-07
1969 Gallery,,184 East 2nd Street,New York,http://1969gallery.com,unclear,,artguide,184 East 2nd Street,browserbase,2026-08-07
205 Hudson Gallery,Hunter College (CUNY),205 Hudson Street,New York,http://205hudsongallery.org,unclear,,artguide,205 Hudson Street,http:/about,2026-08-07
303 Gallery,,555 W 21st Street,New York,https://www.303gallery.com/,open,,major-added,,http:/about,2026-08-07
3A Gallery,,"179 Canal Street, #5A",New York,http://3agallery.com,open,,artguide,"179 Canal Street, #5A",http:homepage,2026-08-07
41 Cooper Gallery,41 Cooper Gallery,41 Cooper Square,New York,http://cooper.edu/about/galleries-auditoriums/41-cooper-gallery,open,,artguide,41 Cooper Square,http:homepage,2026-08-07
47 Canal,,,New York,https://www.47canal.us/,unclear,,major-added,,http:homepage,2026-08-07
47 Canal,,529 West 20th Street,New York,http://47canal.us,unclear,,artguide,529 West 20th Street,http:homepage,2026-08-07
490 Atlantic,490 Atlantic,490 Atlantic Avenue,Brooklyn,http://490atlantic.com,open,,artguide,490 Atlantic Avenue,browserbase,2026-08-07
5-50 Gallery,,5-50 51st Avenue,New York,http://5-50gallery.com,unclear,,artguide,5-50 51st Avenue,http:homepage,2026-08-07
56 Henry,105 Henry Street,105 Henry Street,New York,http://56henry.nyc,unclear,,artguide,105 Henry Street,browserbase,2026-08-07
56 Henry,56 Henry Street,56 Henry Street,New York,http://56henry.nyc,unclear,,artguide,56 Henry Street,browserbase,2026-08-07
57W57 ARTS,,501 5th Ave. Suite 701,"New York, NY",http://57w57arts.com,open,,artguide,"501 Fifth Avenue, Suite #701",http:/contact,2026-08-07
71 Contemporary,,30 East 71st Street,New York,http://71c.co,unclear,,artguide,30 East 71st Street,browserbase,2026-08-07
95 Gallon Gallery,,297 Grand Street,New York,http://95gallon.com,unclear,,artguide,297 Grand Street,browserbase,2026-08-07
99CANAL,,"99 Canal Street, New York, NY 10002 - 6th fl",New York,http://99canal.net,open,,artguide,"99 Canal Street, 6th Fl.",http:homepage,2026-08-07
A365,,"365 Canal Street, #5B",New York,http://jag-projects.com,unclear,,artguide,"365 Canal Street, #5B",browserbase,2026-08-07
ABRI MARS,,53a Stanton Street,New York,http://abrimars.com,open,,artguide,53a Stanton Street,http:/about,2026-08-07
Abrons Arts Center,Abrons Arts Center,466 Grand Street (at Pitt Street),"New York, NY",http://abronsartscenter.org,open,,artguide,466 Grand Street,http:homepage,2026-08-07
Accent Sisters,Accent Sisters Bookstore,89 5th Ave #702,New York,http://accentaccent.com,open,,artguide,"89 5th Avenue, Suite 702",http:/info,2026-08-07
Acquavella Galleries,NEW YORK,18 East Seventy-Ninth Street,New York,http://acquavellagalleries.com,open,,artguide,18 East 79th Street,http:homepage,2026-08-07
Adelson Galleries,New York,"595 Madison Avenue, 4th Floor, The Fuller Building",New York,http://adelsongalleries.com,unclear,,artguide,"595 Madison Avenue, 4th Floor, The Fuller Building",http:homepage,2026-08-07
Adler Beatty,,34 East 69th Street,New York,http://adlerbeatty.com,unclear,,artguide,34 East 69th Street,browserbase,2026-08-07
Affirmation Arts,,"415 West 13th St, 8th Floor",New York,http://www.affirmationarts.com,open,,artguide,"415 West 13th Street, 8th Fl.",browserbase,2026-08-07
Aguirre,,49 Walker Street,New York,http://aguirree.com,unclear,,artguide,49 Walker Street,browserbase,2026-08-07
AHL Foundation,,2605 Frederick Douglass Blvd.,New York,http://ahlfoundation.org,open,,artguide,"2605 Frederick Douglass Blvd, #C1",http:homepage,2026-08-07
Aicon Art,,35 Great Jones Street,New York,http://aicon.art,open,,artguide,35 Great Jones Street,http:/about,2026-08-07
AILSA,,"Bed-Stuy, DM for address",New York,http://ailsa-ny.com,unclear,,artguide,"Bed-Stuy, DM for address",browserbase,2026-08-07
Alessandro Berni Gallery,,511 West 25th Street,"New York, NY",http://alessandrobernigallery.com,open,,artguide,511 West 25th Street,browserbase,2026-08-07
Alexander Berggruen,,,New York,https://alexanderberggruen.com/,unclear,,major-added,,http:/about,2026-08-07
Alexander Gray Associates,,384 Broadway,New York,http://alexandergray.com,open,,artguide,384 Broadway,http:homepage,2026-08-07
Alexandre Gallery,Upper East Side,"25 East 73rd Street, Second & Third Floors, Buzzer 3",New York,http://alexandregallery.com,open,,artguide,25 East 73rd Street,http:/contact,2026-08-07
Alisan Fine Arts,,"120 East 65th Street, New York, NY 10065, USA",New York,http://alisan.com.hk/en,open,,artguide,120 East 65th Street,http:homepage,2026-08-07
Alison Bradley Projects,ALISON BRADLEY PROJECTS,526 W 26th St. #814,New York,http://alisonbradleyprojects.com,open,,artguide,"526 West 26th Street, Suite 814",http:homepage,2026-08-07
All Street Gallery,Hester Street,119 Hester St.,New York,http://allstnyc.com,open,,artguide,77 East Third Street,browserbase,2026-08-07
All Street Gallery,3rd Street,77 East 3rd St.,New York,http://allstnyc.com,open,,artguide,77 East Third Street,browserbase,2026-08-07
Allen Street Gallery,,65 Allen Street,New York,http://allenstreetgallery.com,open,,artguide,65 Allen Street,http:homepage,2026-08-07
Allouche Gallery,New York,330 Spring Street,"New York, NY 10013",http://allouchegallery.com,open,,artguide,77 Mercer Street,http:homepage,2026-08-07
Almine Rech,New York,New York,New York,https://www.alminerech.com/,open,,major-added,,http:homepage,2026-08-07
Alyssa Davis Gallery,,"28 Warren St, Floor 4",New York,http://alyssadavis.gallery,open,,artguide,"28 Warren St, 4th Floor",http:homepage,2026-08-07
Alyssa Davis Gallery,,565 Broome,New York,http://alyssadavis.gallery,open,,artguide,"28 Warren St, 4th Floor",http:homepage,2026-08-07
American Art Catalogues,,239 West 4th Street,New York,http://americanartcatalogues.com,unclear,,artguide,239 West 4th Street,browserbase,2026-08-07
Americas Society,,680 Park Avenue,New York,http://as-coa.org/visual-arts,open,,artguide,680 Park Avenue,http:homepage,2026-08-07
Amsterdam Whitney Gallery,Amsterdam Whitney Gallery,210 Eleventh Avenue (between 24th & 25th Street) Chelsea,"New York, NY 10001",http://amsterdamwhitneygallery.com,open,,artguide,210 11th Avenue,http:homepage,2026-08-07
Anders Wahlstedt Fine Art,,"526 West 26th Street, Suite 508",New York,http://wahlstedtart.com,open,,artguide,"526 West 26th Street, Chelsea Art Building, Suite #508",browserbase,2026-08-07
Andrea Rosen Gallery,,544 West 24th Street,New York,https://www.andrearosengallery.com/,open,,major-added,,browserbase,2026-08-07
Andrew Edlin Gallery,,,New York,https://andrewedlin.com/,unclear,,major-added,,browserbase,2026-08-07
Andrew Kreps,,22 Cortlandt Alley,New York,http://andrewkreps.com,open,,artguide,55 Walker Street,http:/contact,2026-08-07
Andrew Kreps,,"394 Broadway, Ground Floor",New York,http://andrewkreps.com,open,,artguide,55 Walker Street,http:/contact,2026-08-07
Andrew Kreps Gallery,,22 Cortlandt Alley,New York,https://www.andrewkreps.com/,open,,major-added,,http:/contact,2026-08-07
Andrew Kreps Gallery,,"394 Broadway, Ground Floor",New York,https://www.andrewkreps.com/,open,,major-added,,http:/contact,2026-08-07
Andrew Reed Gallery,New York,35 Lispenard Street,New York,http://andrewreedgallery.com,unclear,,artguide,35 Lispenard Street,browserbase,2026-08-07
ANOTHER SPACE,,Chelsea,New York,http://anotherspace.org,unclear,,artguide,Chelsea,http:homepage,2026-08-07
Anthology Film Archives,Anthology Film Archives,32 Second Avenue,New York,http://anthologyfilmarchives.org,open,,artguide,32 Second Avenue,http:/about,2026-08-07
Anton Kern Gallery,,,New York,https://www.antonkern.com/,unclear,,major-added,,browserbase,2026-08-07
Anya and Andrew Shiva Gallery,Anya and Andrew Shiva Gallery,11th Avenue and 59th Street,New York City,http://shivagallery.org,open,,artguide,"860 11th Ave, John Jay College of Criminal Justice",http:homepage,2026-08-07
Apartment Gallery,,580 Woodward Avenue,New York,http://instagram.com/ridgewood_apartmentgallery,unclear,,artguide,580 Woodward Avenue,browserbase,2026-08-07
aperture,,380 Columbus Avenue,New York,http://aperture.org,unclear,,artguide,"548 West 28th Street, 4th Floor",http:homepage,2026-08-07
Art Gallery Studio 41,Studio 41,27-15 41st Avenue,Long Island City,http://studio41lic.com,open,,artguide,"27-15 41st Avenue, 1st Floor",http:homepage,2026-08-07
Art Gotham,LOWER EAST SIDE,125 Rivington Street,New York,http://artgotham.com,open,,artguide,4 Saint Mark's Place,http:homepage,2026-08-07
Art Gotham,EAST VILLAGE,4 Saint Marks Place,New York,http://artgotham.com,open,,artguide,4 Saint Mark's Place,http:homepage,2026-08-07
Art Gotham,SOHO,478 West Broadway,New York,http://artgotham.com,open,,artguide,4 Saint Mark's Place,http:homepage,2026-08-07
Art Lot,,206 Columbia Street,New York,http://artlotbrooklyn.com,unclear,,artguide,206 Columbia Street,browserbase,2026-08-07
Art Projects International,,"434 Greenwich Street, Ground Floor",New York,http://artprojects.com,open,,artguide,"434 Greenwich Street, Ground Floor",http:/about,2026-08-07
Artemisa Gallery,,347 West 21st Street,New York,http://artemisagallery.com,unclear,,artguide,347 West 21st Street,browserbase,2026-08-07
Artifact Projects,,155 Suffolk Street,New York,http://artifactnyc.net,open,,artguide,155 Suffolk Street,http:/about,2026-08-07
Arton Contemporary,,"521 Madison Avenue, New York, NY, 10022",New York,http://artoncontemporary.com,open,,artguide,521 Madison Avenue,http:homepage,2026-08-07
Asia Art Archive in America,Vilcek Foundation,21 E 70th St,"New York, NY",http://aaa-a.org,open,,artguide,23 Cranberry Street,http:homepage,2026-08-07
Asia Art Archive in America,Asia Art Archive in America,23 Cranberry Street,"Brooklyn, NY",http://aaa-a.org,open,,artguide,23 Cranberry Street,http:homepage,2026-08-07
Asia Art Archive in America,Amant,315 Maujer St.,"Brooklyn, NY",http://aaa-a.org,open,,artguide,23 Cranberry Street,http:homepage,2026-08-07
Asian/Pacific/American Institute,New York University (NYU),"20 Cooper Square, 1st Fl.",New York,http://apa.nyu.edu,unclear,,artguide,"20 Cooper Square, 1st Fl.",http:homepage,2026-08-07
Astor Weeks,Astor Weeks,"209 Canal Street, Third Floor","New York, NY",http://astorweeksny.com,open,,artguide,"209 Canal Street, #3",http:homepage,2026-08-07
Astroläbe Contemporary,,311 Greenwich St,New York,http://astrolabe.art,unclear,,artguide,311 Greenwich St,browserbase,2026-08-07
Atamian Hovsepian Curatorial Practice,,227 East 24th Street,New York,http://atamianhovsepian.art,unclear,,artguide,227 East 24th Street,browserbase,2026-08-07
Ateliers Courbet,,134 10TH AVE,NEW YORK,http://atelierscourbet.com,open,,artguide,134 10th Avenue,http:homepage,2026-08-07
Atlantic Gallery,,548 West 28th Street,New York,http://atlanticgallery.org,unclear,,artguide,"548 West 28th Street, Suite 540",browserbase,2026-08-07
Atlantic Gallery,,"Suite 540, 547 West 27th Street",New York,http://atlanticgallery.org,unclear,,artguide,"548 West 28th Street, Suite 540",browserbase,2026-08-07
Austrian Cultural Forum New York,Austrian Cultural Forum New York,11 East 52nd Street,New York,http://www.acfny.org,open,,artguide,11 East 52nd Street,http:/visit,2026-08-07
Auxier Kline,,19 Monroe Street,New York,http://auxierkline.com,open,,artguide,19 Monroe Street,browserbase,2026-08-07
Auxiliary Projects,,212R Norman Ave,Brooklyn,http://auxiliaryprojects.com,open,,artguide,212R Norman Avenue,http:/about,2026-08-07
BANK,New York,127 Elizabeth Street,New York,http://bankmabsociety.com,open,,artguide,127 Elizabeth Street,http:homepage,2026-08-07
Barbara Mathes Gallery,,"22 East 80th Street, 3rd Fl.",New York,http://barbaramathesgallery.com,unclear,,artguide,"22 East 80th Street, 3rd Fl.",browserbase,2026-08-07
